year,place,total_15_19,total_20_24,total_25_29,m_15_19,m_20_24,m_25_29,f_15_19,f_20_24,f_25_29,city_county
2016,伊勢崎市,4.0,-155.0,42.0,36.0,-94.0,58.0,-32.0,-61.0,-16.0,city
2016,太田市,38.0,-79.0,48.0,105.0,-33.0,11.0,-67.0,-46.0,37.0,city
2016,沼田市,-66.0,-146.0,-47.0,-38.0,-68.0,-13.0,-28.0,-78.0,-34.0,city
2016,館林市,-53.0,-133.0,-29.0,-34.0,-49.0,-15.0,-19.0,-84.0,-14.0,city
2016,渋川市,-58.0,-148.0,-94.0,-29.0,-78.0,-43.0,-29.0,-70.0,-51.0,city
2016,藤岡市,-45.0,-117.0,-48.0,-25.0,-43.0,-10.0,-20.0,-74.0,-38.0,city
2016,富岡市,-55.0,-103.0,-68.0,-27.0,-27.0,-40.0,-28.0,-76.0,-28.0,city
2016,安中市,-41.0,-165.0,-60.0,-33.0,-71.0,-14.0,-8.0,-94.0,-46.0,city
2016,みどり市,-10.0,-48.0,-4.0,-4.0,-31.0,9.0,-6.0,-17.0,-13.0,city
2016,北群馬郡,9.0,-41.0,-10.0,16.0,-29.0,-21.0,-7.0,-12.0,11.0,county
